split,support,normal_support,shoplifting_support,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,accuracy_ci_low,balanced_accuracy_ci_low,precision_ci_low,recall_ci_low,specificity_ci_low,f1_ci_low,roc_auc_ci_low,accuracy_ci_high,balanced_accuracy_ci_high,precision_ci_high,recall_ci_high,specificity_ci_high,f1_ci_high,roc_auc_ci_high,accuracy_wilson_ci_low,balanced_accuracy_wilson_ci_low,precision_wilson_ci_low,recall_wilson_ci_low,specificity_wilson_ci_low,f1_wilson_ci_low,roc_auc_wilson_ci_low,accuracy_wilson_ci_high,balanced_accuracy_wilson_ci_high,precision_wilson_ci_high,recall_wilson_ci_high,specificity_wilson_ci_high,f1_wilson_ci_high,roc_auc_wilson_ci_high
train,113,58,55,0.5,0.9734513274336283,0.9741379310344828,0.9482758620689655,1.0,0.9482758620689655,0.9734513274336283,0.9943573667711598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val,18,8,10,0.5,0.8888888888888888,0.875,0.8333333333333334,1.0,0.75,0.9090909090909091,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,30,10,20,0.5,0.9333333333333333,0.9,0.9090909090909091,1.0,0.8,0.9523809523809523,0.945,0.8333333333333334,0.75,0.8,1.0,0.5,0.888888888888889,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7867654163738308,,0.7218505315839417,0.8388748419471806,0.49016247153664183,,,0.9815229762087295,,0.9747045710090046,1.0,0.9433178485456247,,
