split,threshold,support,normal_support,shoplifting_support,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,accuracy_ci_low,balanced_accuracy_ci_low,precision_ci_low,recall_ci_low,specificity_ci_low,f1_ci_low,roc_auc_ci_low,accuracy_ci_high,balanced_accuracy_ci_high,precision_ci_high,recall_ci_high,specificity_ci_high,f1_ci_high,roc_auc_ci_high
train,0.5,113,58,55,0.9469026548672567,0.9468652037617555,0.9454545454545454,0.9454545454545454,0.9482758620689655,0.9454545454545454,0.983385579937304,,,,,,,,,,,,,,
val,0.5,18,8,10,0.6666666666666666,0.675,0.75,0.6,0.75,0.6666666666666665,0.7,,,,,,,,,,,,,,
test,0.5,30,10,20,0.7333333333333333,0.775,0.9285714285714286,0.65,0.9,0.7647058823529412,0.915,0.5666666666666667,0.625,0.7857142857142857,0.45,0.7,0.5806451612903226,0.79,0.8666666666666667,0.9,1.0,0.85,1.0,0.8947368421052632,0.995
ood,0.5,8,2,6,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.75,0.5,0.3333333333333333,0.6666666666666666,0.5,0.0,0.6,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qualitative,0.5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
